district,Latitude,Longitude,rent,bedrooms,living-dining,bathrooms,loft,sqmeters,entire_building,building_type,use_type_en,heat,ac,balcony,WIFI,outdoor_space,bathtub,floor_heat,oven,total_amens
Huangpu,31.21278,121.56217,2500,1,0,1,0,20,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Xuhui,31.21278,121.56217,2500,1,0,1,0,15,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Putuo,31.21278,121.56217,2500,1,0,0,0,18,0,public housing,residential,0,1,1,1,0,0,0,0,3
Jing'an,31.21278,121.56217,2500,1,0,1,0,15,0,detached lane house,residential,0,0,0,0,1,0,0,0,1
Huangpu,31.21278,121.56217,2500,1,0,1,0,10,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,2600,1,0,1,0,8,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,31.21278,121.56217,2600,1,0,1,0,15,0,detached lane house,residential,0,0,0,0,1,0,0,0,1
Xuhui,31.21278,121.56217,2700,1,0,1,0,15,0,detached lane house,residential,1,1,1,0,1,1,0,0,5
Jing'an,31.21278,121.56217,2700,1,1,1,0,20,0,detached lane house,residential,0,0,0,0,1,0,0,0,1
Xuhui,31.21278,121.56217,2800,1,0,1,0,12,0,attached lane house,residential,1,0,0,0,0,0,0,0,1
Pudong,31.21278,121.56217,2800,1,1,1,0,32,0,public housing,residential,0,1,0,1,0,1,0,0,3
Huangpu,31.21278,121.56217,2800,1,0,1,0,15,0,public housing,residential,0,1,0,0,0,0,0,0,1
Jing'an,31.21278,121.56217,2800,1,0,1,0,20,0,attached lane house,residential,1,1,0,1,1,1,0,0,5
Baoshan,31.21278,121.56217,2800,1,1,1,0,28,0,villa,residential,0,0,0,0,1,0,0,0,1
Jing'an,31.240223,121.444466,2800,1,0,1,0,13,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
